source_table_id,example_id,source_uid,table_index,row_count,max_column_count
mhdev_0009_table_2,MHDEV-0009,9b1a8a210c654f1aada293d3ea35429e,2,8,2
mhdev_0010_table_0,MHDEV-0010,6a6d7accb802496fa8e7ed474f117d38,0,11,6
mhdev_0010_table_1,MHDEV-0010,6a6d7accb802496fa8e7ed474f117d38,1,8,3
mhdev_0010_table_2,MHDEV-0010,6a6d7accb802496fa8e7ed474f117d38,2,10,2
mhdev_0010_table_3,MHDEV-0010,6a6d7accb802496fa8e7ed474f117d38,3,6,4
mhdev_0010_table_4,MHDEV-0010,6a6d7accb802496fa8e7ed474f117d38,4,6,3
mhdev_0010_table_5,MHDEV-0010,6a6d7accb802496fa8e7ed474f117d38,5,21,5
mhdev_0011_table_0,MHDEV-0011,b06dcff918b84dbc8bdc39df31d6c355,0,13,5
mhdev_0011_table_1,MHDEV-0011,b06dcff918b84dbc8bdc39df31d6c355,1,7,4
mhdev_0011_table_2,MHDEV-0011,b06dcff918b84dbc8bdc39df31d6c355,2,26,5
mhdev_0012_table_0,MHDEV-0012,0fc058f14a954e6eb3d22d45a76ef981,0,4,3
mhdev_0012_table_1,MHDEV-0012,0fc058f14a954e6eb3d22d45a76ef981,1,10,4
mhdev_0012_table_2,MHDEV-0012,0fc058f14a954e6eb3d22d45a76ef981,2,10,3
mhdev_0012_table_3,MHDEV-0012,0fc058f14a954e6eb3d22d45a76ef981,3,33,6
mhdev_0012_table_4,MHDEV-0012,0fc058f14a954e6eb3d22d45a76ef981,4,10,11
mhdev_0013_table_0,MHDEV-0013,a779b55236c7402fb7a09102e4295673,0,4,6
mhdev_0013_table_1,MHDEV-0013,a779b55236c7402fb7a09102e4295673,1,9,8
mhdev_0013_table_2,MHDEV-0013,a779b55236c7402fb7a09102e4295673,2,12,8
mhdev_0013_table_3,MHDEV-0013,a779b55236c7402fb7a09102e4295673,3,4,4
mhdev_0014_table_0,MHDEV-0014,723cdadfdcfc48f68cc952f98977cf62,0,10,4
mhdev_0014_table_1,MHDEV-0014,723cdadfdcfc48f68cc952f98977cf62,1,7,4
mhdev_0014_table_2,MHDEV-0014,723cdadfdcfc48f68cc952f98977cf62,2,9,6
mhdev_0015_table_0,MHDEV-0015,404ce5c5eb06402d8172096ca3cd0bd1,0,16,6
mhdev_0015_table_1,MHDEV-0015,404ce5c5eb06402d8172096ca3cd0bd1,1,8,4
mhdev_0015_table_2,MHDEV-0015,404ce5c5eb06402d8172096ca3cd0bd1,2,7,4
mhdev_0015_table_3,MHDEV-0015,404ce5c5eb06402d8172096ca3cd0bd1,3,15,8
mhdev_0016_table_0,MHDEV-0016,9b2dc866091743d7b190417a4307a3c4,0,7,6
mhdev_0016_table_1,MHDEV-0016,9b2dc866091743d7b190417a4307a3c4,1,6,4
mhdev_0016_table_2,MHDEV-0016,9b2dc866091743d7b190417a4307a3c4,2,7,6
mhdev_0016_table_3,MHDEV-0016,9b2dc866091743d7b190417a4307a3c4,3,15,8
mhdev_0017_table_0,MHDEV-0017,bbcbe3ddf43449a08763a2f7d7986260,0,5,4
mhdev_0017_table_1,MHDEV-0017,bbcbe3ddf43449a08763a2f7d7986260,1,9,6
mhdev_0017_table_2,MHDEV-0017,bbcbe3ddf43449a08763a2f7d7986260,2,6,4
mhdev_0018_table_0,MHDEV-0018,161facf717424d17af248fcb4fdb738a,0,5,2
mhdev_0018_table_1,MHDEV-0018,161facf717424d17af248fcb4fdb738a,1,15,4
mhdev_0018_table_2,MHDEV-0018,161facf717424d17af248fcb4fdb738a,2,17,2
mhdev_0018_table_3,MHDEV-0018,161facf717424d17af248fcb4fdb738a,3,11,6
mhdev_0019_table_0,MHDEV-0019,05be07b07d5a44ca8398c7ec38271bc6,0,4,3
mhdev_0019_table_1,MHDEV-0019,05be07b07d5a44ca8398c7ec38271bc6,1,11,4
mhdev_0019_table_2,MHDEV-0019,05be07b07d5a44ca8398c7ec38271bc6,2,11,7
mhdev_0020_table_0,MHDEV-0020,ce038f0f07ed4f90a13b4134d41bfa3e,0,12,6
mhdev_0020_table_1,MHDEV-0020,ce038f0f07ed4f90a13b4134d41bfa3e,1,14,7
mhdev_0020_table_2,MHDEV-0020,ce038f0f07ed4f90a13b4134d41bfa3e,2,6,5
mhdev_0020_table_3,MHDEV-0020,ce038f0f07ed4f90a13b4134d41bfa3e,3,36,10
mhdev_0021_table_0,MHDEV-0021,7389cfa35a894e14bf0773e29d326973,0,7,6
mhdev_0021_table_1,MHDEV-0021,7389cfa35a894e14bf0773e29d326973,1,6,4
mhdev_0021_table_2,MHDEV-0021,7389cfa35a894e14bf0773e29d326973,2,7,6
mhdev_0021_table_3,MHDEV-0021,7389cfa35a894e14bf0773e29d326973,3,15,8
mhdev_0022_table_0,MHDEV-0022,032145bd6fdd4712b05cd5495f7c8f35,0,13,4
mhdev_0022_table_1,MHDEV-0022,032145bd6fdd4712b05cd5495f7c8f35,1,30,7
mhdev_0022_table_2,MHDEV-0022,032145bd6fdd4712b05cd5495f7c8f35,2,7,7
mhdev_0023_table_0,MHDEV-0023,9df041a1ce9440c2aaaf77f773811fcb,0,8,4
mhdev_0023_table_1,MHDEV-0023,9df041a1ce9440c2aaaf77f773811fcb,1,6,2
mhdev_0023_table_2,MHDEV-0023,9df041a1ce9440c2aaaf77f773811fcb,2,6,3
mhdev_0023_table_3,MHDEV-0023,9df041a1ce9440c2aaaf77f773811fcb,3,13,5
mhdev_0024_table_0,MHDEV-0024,071e671820fa4f89b003923a38b03741,0,7,5
mhdev_0024_table_1,MHDEV-0024,071e671820fa4f89b003923a38b03741,1,15,4
mhdev_0024_table_2,MHDEV-0024,071e671820fa4f89b003923a38b03741,2,40,6
mhdev_0025_table_0,MHDEV-0025,4251b0c576c3429085b0f79fe3594b32,0,3,6
mhdev_0025_table_1,MHDEV-0025,4251b0c576c3429085b0f79fe3594b32,1,20,6
mhdev_0025_table_2,MHDEV-0025,4251b0c576c3429085b0f79fe3594b32,2,9,4
mhdev_0026_table_0,MHDEV-0026,f1b58737e9a34f60b4882c8b7226395e,0,11,2
mhdev_0026_table_1,MHDEV-0026,f1b58737e9a34f60b4882c8b7226395e,1,7,4
mhdev_0026_table_2,MHDEV-0026,f1b58737e9a34f60b4882c8b7226395e,2,7,3
mhdev_0026_table_3,MHDEV-0026,f1b58737e9a34f60b4882c8b7226395e,3,12,5
mhdev_0027_table_0,MHDEV-0027,b86d620b573c45ffae2f15fb5a02e688,0,6,5
mhdev_0027_table_1,MHDEV-0027,b86d620b573c45ffae2f15fb5a02e688,1,16,5
mhdev_0027_table_2,MHDEV-0027,b86d620b573c45ffae2f15fb5a02e688,2,8,4
mhdev_0027_table_3,MHDEV-0027,b86d620b573c45ffae2f15fb5a02e688,3,7,4
mhdev_0028_table_0,MHDEV-0028,9e8eb2e5a768431c99abaef9de32a4ec,0,10,3
mhdev_0028_table_1,MHDEV-0028,9e8eb2e5a768431c99abaef9de32a4ec,1,5,7
mhdev_0028_table_2,MHDEV-0028,9e8eb2e5a768431c99abaef9de32a4ec,2,15,5
mhdev_0028_table_3,MHDEV-0028,9e8eb2e5a768431c99abaef9de32a4ec,3,15,5
mhdev_0029_table_0,MHDEV-0029,e4d6c1e51b0b49d895b73472bb9f0dc0,0,6,3
mhdev_0029_table_1,MHDEV-0029,e4d6c1e51b0b49d895b73472bb9f0dc0,1,19,3
mhdev_0029_table_2,MHDEV-0029,e4d6c1e51b0b49d895b73472bb9f0dc0,2,28,6
mhdev_0030_table_0,MHDEV-0030,612ad8b5f4f94223b2e4b3d38a00951f,0,3,2
mhdev_0030_table_1,MHDEV-0030,612ad8b5f4f94223b2e4b3d38a00951f,1,13,5
mhdev_0030_table_2,MHDEV-0030,612ad8b5f4f94223b2e4b3d38a00951f,2,7,2
mhdev_0030_table_3,MHDEV-0030,612ad8b5f4f94223b2e4b3d38a00951f,3,9,5
mhdev_0031_table_0,MHDEV-0031,d67cd399e6b94bb4a6cdb39afaf0f8f4,0,4,4
mhdev_0031_table_1,MHDEV-0031,d67cd399e6b94bb4a6cdb39afaf0f8f4,1,9,3
mhdev_0031_table_2,MHDEV-0031,d67cd399e6b94bb4a6cdb39afaf0f8f4,2,6,4
mhdev_0031_table_3,MHDEV-0031,d67cd399e6b94bb4a6cdb39afaf0f8f4,3,13,3
mhdev_0031_table_4,MHDEV-0031,d67cd399e6b94bb4a6cdb39afaf0f8f4,4,12,7
mhdev_0031_table_5,MHDEV-0031,d67cd399e6b94bb4a6cdb39afaf0f8f4,5,12,7
mhdev_0031_table_6,MHDEV-0031,d67cd399e6b94bb4a6cdb39afaf0f8f4,6,12,7
mhdev_0032_table_0,MHDEV-0032,11904e0323e04189a6d0c03ebec8c27f,0,7,6
mhdev_0032_table_1,MHDEV-0032,11904e0323e04189a6d0c03ebec8c27f,1,7,7
mhdev_0032_table_2,MHDEV-0032,11904e0323e04189a6d0c03ebec8c27f,2,14,5
mhdev_0032_table_3,MHDEV-0032,11904e0323e04189a6d0c03ebec8c27f,3,12,5
mhdev_0033_table_0,MHDEV-0033,7ba60c94b1534e128a1841bbbb1a382e,0,5,6
mhdev_0033_table_1,MHDEV-0033,7ba60c94b1534e128a1841bbbb1a382e,1,13,7
mhdev_0033_table_2,MHDEV-0033,7ba60c94b1534e128a1841bbbb1a382e,2,6,4
mhdev_0034_table_0,MHDEV-0034,000682417fd9450bb10fee113dae5fcc,0,5,4
mhdev_0034_table_1,MHDEV-0034,000682417fd9450bb10fee113dae5fcc,1,7,4
mhdev_0034_table_2,MHDEV-0034,000682417fd9450bb10fee113dae5fcc,2,11,5
mhdev_0034_table_3,MHDEV-0034,000682417fd9450bb10fee113dae5fcc,3,4,3
mhdev_0034_table_4,MHDEV-0034,000682417fd9450bb10fee113dae5fcc,4,12,4
mhdev_0035_table_0,MHDEV-0035,91afe10a7407428c9bbad202945e060e,0,7,2
mhdev_0035_table_1,MHDEV-0035,91afe10a7407428c9bbad202945e060e,1,5,4
mhdev_0035_table_2,MHDEV-0035,91afe10a7407428c9bbad202945e060e,2,5,3
mhdev_0035_table_3,MHDEV-0035,91afe10a7407428c9bbad202945e060e,3,18,5
mhdev_0036_table_0,MHDEV-0036,abb228ebc069473dbd8a62729def4b35,0,7,2
mhdev_0036_table_1,MHDEV-0036,abb228ebc069473dbd8a62729def4b35,1,8,4
mhdev_0036_table_2,MHDEV-0036,abb228ebc069473dbd8a62729def4b35,2,8,7
mhdev_0036_table_3,MHDEV-0036,abb228ebc069473dbd8a62729def4b35,3,20,5
mhdev_0036_table_4,MHDEV-0036,abb228ebc069473dbd8a62729def4b35,4,3,5
mhdev_0037_table_0,MHDEV-0037,ae2ce9e907114dd786d4a02437917f15,0,11,2
mhdev_0037_table_1,MHDEV-0037,ae2ce9e907114dd786d4a02437917f15,1,7,4
mhdev_0037_table_2,MHDEV-0037,ae2ce9e907114dd786d4a02437917f15,2,7,3
mhdev_0037_table_3,MHDEV-0037,ae2ce9e907114dd786d4a02437917f15,3,12,5
mhdev_0038_table_0,MHDEV-0038,930465d2a8a14fbc9c3de57267a5f067,0,7,4
mhdev_0038_table_1,MHDEV-0038,930465d2a8a14fbc9c3de57267a5f067,1,9,8
mhdev_0038_table_2,MHDEV-0038,930465d2a8a14fbc9c3de57267a5f067,2,8,7
mhdev_0038_table_3,MHDEV-0038,930465d2a8a14fbc9c3de57267a5f067,3,6,2
mhdev_0038_table_4,MHDEV-0038,930465d2a8a14fbc9c3de57267a5f067,4,16,3
mhdev_0039_table_0,MHDEV-0039,6b77c2a63b8d4c268d745c78abf7db2a,0,15,3
mhdev_0039_table_1,MHDEV-0039,6b77c2a63b8d4c268d745c78abf7db2a,1,38,8
mhdev_0039_table_2,MHDEV-0039,6b77c2a63b8d4c268d745c78abf7db2a,2,19,3
mhdev_0040_table_0,MHDEV-0040,8caf20e28a314f43a0bc3fdbadcc2220,0,6,4
mhdev_0040_table_1,MHDEV-0040,8caf20e28a314f43a0bc3fdbadcc2220,1,23,7
mhdev_0040_table_2,MHDEV-0040,8caf20e28a314f43a0bc3fdbadcc2220,2,7,2
mhdev_0041_table_0,MHDEV-0041,70ee07d30a8b46e195c791b6d69b9534,0,8,6
mhdev_0041_table_1,MHDEV-0041,70ee07d30a8b46e195c791b6d69b9534,1,23,5
mhdev_0041_table_2,MHDEV-0041,70ee07d30a8b46e195c791b6d69b9534,2,16,3
mhdev_0041_table_3,MHDEV-0041,70ee07d30a8b46e195c791b6d69b9534,3,7,4
mhdev_0041_table_4,MHDEV-0041,70ee07d30a8b46e195c791b6d69b9534,4,9,7
mhdev_0041_table_5,MHDEV-0041,70ee07d30a8b46e195c791b6d69b9534,5,9,8
mhdev_0042_table_0,MHDEV-0042,6cd056489ef745088e88f09c847c8ad9,0,10,2
mhdev_0042_table_1,MHDEV-0042,6cd056489ef745088e88f09c847c8ad9,1,4,6
mhdev_0042_table_2,MHDEV-0042,6cd056489ef745088e88f09c847c8ad9,2,9,7
mhdev_0042_table_3,MHDEV-0042,6cd056489ef745088e88f09c847c8ad9,3,5,6
mhdev_0043_table_0,MHDEV-0043,e258d39d9df44652a28ca25d0304b0ed,0,4,4
mhdev_0043_table_1,MHDEV-0043,e258d39d9df44652a28ca25d0304b0ed,1,5,5
mhdev_0043_table_2,MHDEV-0043,e258d39d9df44652a28ca25d0304b0ed,2,11,7
mhdev_0043_table_3,MHDEV-0043,e258d39d9df44652a28ca25d0304b0ed,3,5,4
mhdev_0044_table_0,MHDEV-0044,05d560d08fbc406990e7b02b415aa60a,0,4,3
mhdev_0044_table_1,MHDEV-0044,05d560d08fbc406990e7b02b415aa60a,1,12,4
mhdev_0044_table_2,MHDEV-0044,05d560d08fbc406990e7b02b415aa60a,2,5,7
mhdev_0044_table_3,MHDEV-0044,05d560d08fbc406990e7b02b415aa60a,3,22,7
mhdev_0045_table_0,MHDEV-0045,0bcf9238356d41029754e323fa14108d,0,16,3
mhdev_0045_table_1,MHDEV-0045,0bcf9238356d41029754e323fa14108d,1,34,7
mhdev_0045_table_2,MHDEV-0045,0bcf9238356d41029754e323fa14108d,2,2,4
mhdev_0046_table_0,MHDEV-0046,2a9928d6aa7a42b9b76531cf98982a26,0,31,6
mhdev_0046_table_1,MHDEV-0046,2a9928d6aa7a42b9b76531cf98982a26,1,5,4
mhdev_0046_table_2,MHDEV-0046,2a9928d6aa7a42b9b76531cf98982a26,2,10,4
mhdev_0046_table_3,MHDEV-0046,2a9928d6aa7a42b9b76531cf98982a26,3,5,4
mhdev_0047_table_0,MHDEV-0047,d126a1c3049746bba48ef34ad2dd159f,0,10,3
mhdev_0047_table_1,MHDEV-0047,d126a1c3049746bba48ef34ad2dd159f,1,5,7
mhdev_0047_table_2,MHDEV-0047,d126a1c3049746bba48ef34ad2dd159f,2,15,5
mhdev_0047_table_3,MHDEV-0047,d126a1c3049746bba48ef34ad2dd159f,3,15,5
mhdev_0048_table_0,MHDEV-0048,838d349beccf4e2ebb0c04f518fa07e4,0,13,6
mhdev_0048_table_1,MHDEV-0048,838d349beccf4e2ebb0c04f518fa07e4,1,15,6
mhdev_0048_table_2,MHDEV-0048,838d349beccf4e2ebb0c04f518fa07e4,2,9,6
mhdev_0048_table_3,MHDEV-0048,838d349beccf4e2ebb0c04f518fa07e4,3,6,5
mhdev_0048_table_4,MHDEV-0048,838d349beccf4e2ebb0c04f518fa07e4,4,5,4
mhdev_0049_table_0,MHDEV-0049,b52ac057503f483ca5e6a9c4bbef9367,0,12,4
mhdev_0049_table_1,MHDEV-0049,b52ac057503f483ca5e6a9c4bbef9367,1,15,6
mhdev_0049_table_2,MHDEV-0049,b52ac057503f483ca5e6a9c4bbef9367,2,15,6
mhdev_0050_table_0,MHDEV-0050,22c216d2b29747adaf2c1f8ef4f954fa,0,4,6
mhdev_0050_table_1,MHDEV-0050,22c216d2b29747adaf2c1f8ef4f954fa,1,3,6
mhdev_0050_table_2,MHDEV-0050,22c216d2b29747adaf2c1f8ef4f954fa,2,6,3
mhdev_0050_table_3,MHDEV-0050,22c216d2b29747adaf2c1f8ef4f954fa,3,6,5
mhdev_0050_table_4,MHDEV-0050,22c216d2b29747adaf2c1f8ef4f954fa,4,23,6
